family,auroc,auprc,f1,precision,recall,specificity,balanced_accuracy,false_positive_rate,tn,fp,fn,tp,n
block corruption,0.7614339192708333,0.8275061001757746,0.4392156862745098,0.8888888888888888,0.2916666666666667,0.9453125,0.6184895833333334,0.0546875,121,7,136,56,320
blur/noise,0.8534342447916666,0.8400160749685336,0.6623376623376623,0.8793103448275862,0.53125,0.9453125,0.73828125,0.0546875,121,7,45,51,224
clipping,0.9383138020833334,0.9340573751085951,0.8361581920903954,0.9135802469135802,0.7708333333333334,0.9453125,0.8580729166666667,0.0546875,121,7,22,74,224
dead lines/pixels,0.962158203125,0.9767815168431859,0.9005524861878453,0.9588235294117647,0.8489583333333334,0.9453125,0.8971354166666667,0.0546875,121,7,29,163,320
foreign/synthetic contamination,1.0,0.9999999999999998,0.964824120603015,0.9320388349514563,1.0,0.9453125,0.97265625,0.0546875,121,7,0,96,224
missing crop,0.9026692708333334,0.8734277218876665,0.7044025157232704,0.8888888888888888,0.5833333333333334,0.9453125,0.7643229166666667,0.0546875,121,7,40,56,224
patch duplication,0.6636555989583334,0.5878550077590536,0.2542372881355932,0.6818181818181818,0.15625,0.9453125,0.55078125,0.0546875,121,7,81,15,224
stripes,0.9886474609375,0.9921388492170544,0.9608355091383812,0.9633507853403142,0.9583333333333334,0.9453125,0.9518229166666667,0.0546875,121,7,8,184,320
