variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
localized_pixel_mean,family,dead_pixels,0.9986979166666666,0.9995748299319728,0.96,1.0,0.9795918367346939,0.125,1.0,48,2,14,0,6.8479228019714355,1.0,48,64,1.363417148590088
localized_pixel_mean,family,foreign_content,0.5520833333333334,0.758470385765976,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,0.22679468989372253,0.7291666666666666,48,64,1.363417148590088
localized_pixel_mean,family,local_blur,0.44921875,0.7220308334511625,0.7142857142857143,0.10416666666666667,0.18181818181818182,0.125,0.10416666666666667,5,2,14,43,0.07930159755051136,0.16666666666666666,48,64,1.363417148590088
localized_pixel_mean,family,missing_patch,0.58984375,0.772077818767825,0.75,0.125,0.21428571428571427,0.125,0.125,6,2,14,42,0.24164454638957977,0.7083333333333334,48,64,1.363417148590088
localized_pixel_mean,family,patch_duplication,0.50390625,0.7535595965338668,0.8,0.16666666666666666,0.27586206896551724,0.125,0.16666666666666666,8,2,14,40,0.1789371818304062,0.5208333333333334,48,64,1.363417148590088
localized_pixel_mean,family,stripes,0.59375,0.7823203507919019,0.7142857142857143,0.10416666666666667,0.18181818181818182,0.125,0.10416666666666667,5,2,14,43,0.3175397515296936,0.7083333333333334,48,64,1.363417148590088
localized_pixel_mean,severity,0.15,0.5989583333333333,0.9082684004298314,0.9310344827586207,0.28125,0.432,0.125,0.28125,27,2,14,69,0.27331283688545227,0.65625,96,112,1.363417148590088
localized_pixel_mean,severity,0.3,0.6106770833333334,0.9098918724294954,0.9310344827586207,0.28125,0.432,0.125,0.28125,27,2,14,69,0.30281832814216614,0.59375,96,112,1.363417148590088
localized_pixel_mean,severity,0.5,0.6341145833333334,0.9141598376540068,0.9230769230769231,0.25,0.39344262295081966,0.125,0.25,24,2,14,72,0.35951249301433563,0.6666666666666666,96,112,1.363417148590088
texture_mean,family,dead_pixels,0.5234375,0.79714466867241,1.0,0.020833333333333332,0.04081632653061225,0.0,0.020833333333333332,1,0,16,47,0.08101308718323708,0.625,48,64,1.2124571800231934
texture_mean,family,foreign_content,0.6393229166666666,0.8408381480533701,1.0,0.08333333333333333,0.15384615384615385,0.0,0.08333333333333333,4,0,16,44,0.22994723916053772,1.0,48,64,1.2124571800231934
texture_mean,family,local_blur,0.66796875,0.8381092024071506,0.0,0.0,0.0,0.0,0.0,0,0,16,48,0.25085603445768356,0.7083333333333334,48,64,1.2124571800231934
texture_mean,family,missing_patch,0.7760416666666666,0.9058622644738452,1.0,0.08333333333333333,0.15384615384615385,0.0,0.08333333333333333,4,0,16,44,0.8045626282691956,0.9583333333333334,48,64,1.2124571800231934
texture_mean,family,patch_duplication,0.3841145833333333,0.7043270411083589,0.0,0.0,0.0,0.0,0.0,0,0,16,48,-0.15412475168704987,0.08333333333333333,48,64,1.2124571800231934
texture_mean,family,stripes,0.21354166666666666,0.6109314287363177,0.0,0.0,0.0,0.0,0.0,0,0,16,48,-0.6732781827449799,0.0,48,64,1.2124571800231934
texture_mean,severity,0.15,0.5045572916666666,0.871096837339308,0.0,0.0,0.0,0.0,0.0,0,0,16,96,-0.005801297724246979,0.5416666666666666,96,112,1.2124571800231934
texture_mean,severity,0.3,0.5416666666666666,0.8863023190005737,1.0,0.020833333333333332,0.04081632653061225,0.0,0.020833333333333332,2,0,16,94,0.10135301575064659,0.5625,96,112,1.2124571800231934
