variant,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
localized_pixel_mean,0.6145833333333334,0.967674529897303,0.975,0.2708333333333333,0.4239130434782608,0.125,0.2708333333333333,78,2,14,210,0.3356500267982483,0.6388888888888888,288,304,1.363417148590088
texture_mean,0.5340711805555556,0.9579853767467791,1.0,0.03125,0.06060606060606061,0.0,0.03125,9,0,16,279,0.10046370327472687,0.5625,288,304,1.2124571800231934
narrowband_spectral_mean,0.6108940972222222,0.9684154876936728,0.9761904761904762,0.2847222222222222,0.44086021505376344,0.125,0.2847222222222222,82,2,14,206,0.322802409529686,0.6041666666666666,288,304,0.8677487969398499
pixel_spectral_mean,0.6916232638888888,0.9778175888491654,0.983739837398374,0.4201388888888889,0.5888077858880778,0.125,0.4201388888888889,121,2,14,167,0.6225952506065369,0.6736111111111112,288,304,0.8665669560432434
pixel_spectral_max,0.6749131944444444,0.97647610455652,0.983739837398374,0.4201388888888889,0.5888077858880778,0.125,0.4201388888888889,121,2,14,167,0.9544433355331421,0.6354166666666666,288,304,1.4081463813781738
complete_three_mean,0.7180989583333334,0.9792051494496941,0.9848484848484849,0.4513888888888889,0.6190476190476191,0.125,0.4513888888888889,130,2,14,158,0.6001642048358917,0.7430555555555556,288,304,0.6986505389213562
complete_three_max,0.7098524305555556,0.979081207632879,0.984251968503937,0.4340277777777778,0.6024096385542169,0.125,0.4340277777777778,125,2,14,163,1.1607760190963745,0.7048611111111112,288,304,1.4081463813781738
