case_id,base_id,source_id,family,severity,pixel_auroc,iou_at_clean_pixel_q95,positive_map_inside_outside_ratio,mask_fraction
psp_006766_1850_red-0037_patch_duplication_0.5,psp_006766_1850_red-0037,psp_006766_1850,patch_duplication,0.5,0.6759353637695312,0.0,1.2236928939819336,0.0625
psp_006766_1850_red-0037_foreign_content_0.15,psp_006766_1850_red-0037,psp_006766_1850,foreign_content,0.15,0.5337739974733383,0.0,0.6918177008628845,0.015625
psp_006766_1850_red-0037_foreign_content_0.3,psp_006766_1850_red-0037,psp_006766_1850,foreign_content,0.3,0.555523443493999,0.0,0.6168280243873596,0.03228759765625
psp_006766_1850_red-0037_foreign_content_0.5,psp_006766_1850_red-0037,psp_006766_1850,foreign_content,0.5,0.4048695882161458,0.0,0.3983745574951172,0.0625
esp_019559_1390_red-0576_stripes_0.15,esp_019559_1390_red-0576,esp_019559_1390,stripes,0.15,,0.0,,1.0
esp_019559_1390_red-0576_stripes_0.3,esp_019559_1390_red-0576,esp_019559_1390,stripes,0.3,,0.0,,1.0
esp_019559_1390_red-0576_stripes_0.5,esp_019559_1390_red-0576,esp_019559_1390,stripes,0.5,,0.0,,1.0
esp_019559_1390_red-0576_dead_pixels_0.15,esp_019559_1390_red-0576,esp_019559_1390,dead_pixels,0.15,0.9246977255723994,0.7528089887640449,17.471454620361328,0.00543212890625
esp_019559_1390_red-0576_dead_pixels_0.3,esp_019559_1390_red-0576,esp_019559_1390,dead_pixels,0.3,0.8993357493789856,0.7293233082706767,17.971363067626953,0.00811767578125
esp_019559_1390_red-0576_dead_pixels_0.5,esp_019559_1390_red-0576,esp_019559_1390,dead_pixels,0.5,0.8911348655196687,0.7158469945355191,17.288816452026367,0.01116943359375
esp_019559_1390_red-0576_missing_patch_0.15,esp_019559_1390_red-0576,esp_019559_1390,missing_patch,0.15,0.8357328384641617,0.0703125,3.4643285274505615,0.015625
esp_019559_1390_red-0576_missing_patch_0.3,esp_019559_1390_red-0576,esp_019559_1390,missing_patch,0.3,0.9202744150527673,0.21361058601134217,5.154879570007324,0.03228759765625
esp_019559_1390_red-0576_missing_patch_0.5,esp_019559_1390_red-0576,esp_019559_1390,missing_patch,0.5,0.9041413942972819,0.2529296875,4.5776591300964355,0.0625
esp_019559_1390_red-0576_local_blur_0.15,esp_019559_1390_red-0576,esp_019559_1390,local_blur,0.15,0.44865064324523785,0.0,0.6417003870010376,0.08355712890625
esp_019559_1390_red-0576_local_blur_0.3,esp_019559_1390_red-0576,esp_019559_1390,local_blur,0.3,0.5325027353269546,0.0,1.0894415378570557,0.11285400390625
esp_019559_1390_red-0576_local_blur_0.5,esp_019559_1390_red-0576,esp_019559_1390,local_blur,0.5,0.5954030622894554,0.01384083044982699,1.6362922191619873,0.15875244140625
esp_019559_1390_red-0576_patch_duplication_0.15,esp_019559_1390_red-0576,esp_019559_1390,patch_duplication,0.15,0.5028592064267113,0.0,0.9556159377098083,0.015625
esp_019559_1390_red-0576_patch_duplication_0.3,esp_019559_1390_red-0576,esp_019559_1390,patch_duplication,0.3,0.5583858681493855,0.0,1.0327759981155396,0.03228759765625
esp_019559_1390_red-0576_patch_duplication_0.5,esp_019559_1390_red-0576,esp_019559_1390,patch_duplication,0.5,0.5137110074361165,0.0,0.868284285068512,0.0625
esp_019559_1390_red-0576_foreign_content_0.15,esp_019559_1390_red-0576,esp_019559_1390,foreign_content,0.15,0.6992977081783234,0.0,1.7990632057189941,0.015625
