variant,threshold,auroc,auprc,f1,precision,recall,specificity,balanced_accuracy,false_positive_rate,tn,fp,fn,tp,n
V1_diffusion,2.5239977968157663,0.7323367956912878,0.9538567032615799,0.5056179775280899,0.9782608695652174,0.3409090909090909,0.9375,0.6392045454545454,0.0625,120,8,696,360,1184
V2_diffusion_semantic,1.7108953544084893,0.8206972064393939,0.9741496926106255,0.6737367436057392,0.9872029250457038,0.5113636363636364,0.9453125,0.7283380681818181,0.0546875,121,7,516,540,1184
V3_TCMD_SS,1.7794159070358,0.8893229166666666,0.9851937503275228,0.7906712172923777,0.99002849002849,0.6581439393939394,0.9453125,0.8017282196969697,0.0546875,121,7,361,695,1184
without_semantic,2.289113787798032,0.8566080729166667,0.9796583576129955,0.7237866986219293,0.9853181076672104,0.571969696969697,0.9296875,0.7508285984848485,0.0703125,119,9,452,604,1184
without_spectral,1.6071083612876629,0.8126923532196969,0.9734242534356188,0.6616352201257861,0.9850187265917603,0.4981060606060606,0.9375,0.7178030303030303,0.0625,120,8,530,526,1184
without_latent,1.978511646065093,0.8915534741950757,0.9851221607031948,0.7793696275071633,0.9869375907111756,0.6439393939393939,0.9296875,0.786813446969697,0.0703125,119,9,376,680,1184
equal_weight,1.9069029358574858,0.9010786576704546,0.9869830993376505,0.7825588066551922,0.992721979621543,0.6458333333333334,0.9609375,0.8033854166666667,0.0390625,123,5,374,682,1184
