epoch,steps,samples,loss,normal_validation_l1,session_seconds
1,128,512,0.1504086009663297,0.22607340849936008,15.893064600000798
2,128,512,0.06515746796503663,0.23666710034012794,27.289778500002285
3,128,512,0.04910625498450827,0.14667831361293793,38.737916800004314
4,128,512,0.04619646582432324,0.15838419646024704,49.88394420000259
5,128,512,0.04329048942599911,0.15835666004568338,60.957723100000294
6,128,512,0.034536755902081495,0.10807835776358843,71.99433250000584
7,128,512,0.038109803092083894,0.11689361836761236,83.0381555999993
8,128,512,0.03220041317035793,0.19115868397057056,93.96926620000158
