variant,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
pixel_mean,0.6306423611111112,0.9649251867536526,0.9545454545454546,0.14583333333333334,0.2530120481927711,0.125,0.14583333333333334,42,2,14,246,0.22458018362522125,0.7013888888888888,288,304,1.7241846323013306
texture_mean,0.5340711805555556,0.9579853767467791,1.0,0.03125,0.06060606060606061,0.0,0.03125,9,0,16,279,0.10046371072530746,0.5625,288,304,1.212457537651062
spectral_mean,0.5588107638888888,0.9587074885569739,0.9464285714285714,0.1840277777777778,0.3081395348837209,0.1875,0.1840277777777778,53,3,13,235,0.46561966836452484,0.5451388888888888,288,304,3.903651475906372
pixel_texture_mean,0.6032986111111112,0.9622386169336644,0.967741935483871,0.10416666666666667,0.18808777429467086,0.0625,0.10416666666666667,30,1,15,258,0.1436702460050583,0.65625,288,304,1.3648806810379028
pixel_texture_max,0.6163194444444444,0.9639692818933987,0.9545454545454546,0.14583333333333334,0.2530120481927711,0.125,0.14583333333333334,42,2,14,246,0.5210926234722137,0.6423611111111112,288,304,1.7241846323013306
pixel_spectral_mean,0.6117621527777778,0.9627204146051273,0.98,0.1701388888888889,0.2899408284023669,0.0625,0.1701388888888889,49,1,15,239,0.5129379332065582,0.6979166666666666,288,304,2.6661183834075928
pixel_spectral_max,0.6119791666666666,0.9629191727982185,0.9464285714285714,0.1840277777777778,0.3081395348837209,0.1875,0.1840277777777778,53,3,13,235,1.0541471242904663,0.6284722222222222,288,304,3.903651475906372
complete_three_mean,0.609375,0.9617951498588286,0.9696969696969697,0.1111111111111111,0.1993769470404984,0.0625,0.1111111111111111,32,1,15,256,0.3660639524459839,0.7222222222222222,288,304,2.1704964637756348
complete_three_max,0.6291232638888888,0.9640648845853032,0.9464285714285714,0.1840277777777778,0.3081395348837209,0.1875,0.1840277777777778,53,3,13,235,1.071277678012848,0.6631944444444444,288,304,3.903651475906372
