case_id,base_id,source_id,family,severity,pixel_auroc,iou_at_clean_pixel_q95,positive_map_inside_outside_ratio,mask_fraction
esp_020133_1720_red-0022_stripes_0.15,esp_020133_1720_red-0022,esp_020133_1720,stripes,0.15,,0.0006103515625,,1.0
esp_020133_1720_red-0022_stripes_0.3,esp_020133_1720_red-0022,esp_020133_1720,stripes,0.3,,0.0,,1.0
esp_020133_1720_red-0022_stripes_0.5,esp_020133_1720_red-0022,esp_020133_1720,stripes,0.5,,0.0,,1.0
esp_020133_1720_red-0022_dead_pixels_0.15,esp_020133_1720_red-0022,esp_020133_1720,dead_pixels,0.15,0.5669587152257242,0.0,1.8461656509316526e-05,0.0050048828125
esp_020133_1720_red-0022_dead_pixels_0.3,esp_020133_1720_red-0022,esp_020133_1720,dead_pixels,0.3,0.6057460514579233,0.0,1.853971480159089e-05,0.0078125
esp_020133_1720_red-0022_dead_pixels_0.5,esp_020133_1720_red-0022,esp_020133_1720,dead_pixels,0.5,0.732298797144731,0.0,2.4024011509027332e-05,0.0118408203125
esp_020133_1720_red-0022_missing_patch_0.15,esp_020133_1720_red-0022,esp_020133_1720,missing_patch,0.15,0.45275975787450395,0.11764705882352941,0.9711160063743591,0.015625
esp_020133_1720_red-0022_missing_patch_0.3,esp_020133_1720_red-0022,esp_020133_1720,missing_patch,0.3,0.5214687810551555,0.1950354609929078,1.710086464881897,0.03228759765625
esp_020133_1720_red-0022_missing_patch_0.5,esp_020133_1720_red-0022,esp_020133_1720,missing_patch,0.5,0.5874025344848632,0.3556174558960074,2.144059896469116,0.0625
esp_020133_1720_red-0022_local_blur_0.15,esp_020133_1720_red-0022,esp_020133_1720,local_blur,0.15,0.8022446752176482,0.07449856733524356,3.075512170791626,0.08355712890625
esp_020133_1720_red-0022_local_blur_0.3,esp_020133_1720_red-0022,esp_020133_1720,local_blur,0.3,0.828373038131974,0.11087420042643924,3.4291563034057617,0.11285400390625
esp_020133_1720_red-0022_local_blur_0.5,esp_020133_1720_red-0022,esp_020133_1720,local_blur,0.5,0.8350632837207619,0.10121765601217655,3.4677934646606445,0.15875244140625
esp_020133_1720_red-0022_patch_duplication_0.15,esp_020133_1720_red-0022,esp_020133_1720,patch_duplication,0.15,0.355835445343502,0.0,0.046529751271009445,0.015625
esp_020133_1720_red-0022_patch_duplication_0.3,esp_020133_1720_red-0022,esp_020133_1720,patch_duplication,0.3,0.40803942152982575,0.0,0.30784791707992554,0.03228759765625
esp_020133_1720_red-0022_patch_duplication_0.5,esp_020133_1720_red-0022,esp_020133_1720,patch_duplication,0.5,0.4178189277648926,0.0,0.6613214015960693,0.0625
esp_020133_1720_red-0022_foreign_content_0.15,esp_020133_1720_red-0022,esp_020133_1720,foreign_content,0.15,0.3387666732545883,0.0,4.981583060725825e-06,0.015625
esp_020133_1720_red-0022_foreign_content_0.3,esp_020133_1720_red-0022,esp_020133_1720,foreign_content,0.3,0.17203800510176404,0.0,4.192535470792791e-06,0.03228759765625
esp_020133_1720_red-0022_foreign_content_0.5,esp_020133_1720_red-0022,esp_020133_1720,foreign_content,0.5,0.04643608729044597,0.0,2.185055336667574e-06,0.0625
psp_006766_1850_red-0037_stripes_0.15,psp_006766_1850_red-0037,psp_006766_1850,stripes,0.15,,0.0294189453125,,1.0
psp_006766_1850_red-0037_stripes_0.3,psp_006766_1850_red-0037,psp_006766_1850,stripes,0.3,,0.00030517578125,,1.0
psp_006766_1850_red-0037_stripes_0.5,psp_006766_1850_red-0037,psp_006766_1850,stripes,0.5,,0.0,,1.0
psp_006766_1850_red-0037_dead_pixels_0.15,psp_006766_1850_red-0037,psp_006766_1850,dead_pixels,0.15,0.7611300805804885,0.000847457627118644,0.4053247272968292,0.00494384765625
psp_006766_1850_red-0037_dead_pixels_0.3,psp_006766_1850_red-0037,psp_006766_1850,dead_pixels,0.3,0.7673521411681087,0.0032,0.3886673152446747,0.0076904296875
psp_006766_1850_red-0037_dead_pixels_0.5,psp_006766_1850_red-0037,psp_006766_1850,dead_pixels,0.5,0.7950157117859413,0.004038772213247173,0.4335955083370209,0.011474609375
psp_006766_1850_red-0037_missing_patch_0.15,psp_006766_1850_red-0037,psp_006766_1850,missing_patch,0.15,0.7134139045836434,0.0066518847006651885,0.6060553789138794,0.015625
psp_006766_1850_red-0037_missing_patch_0.3,psp_006766_1850_red-0037,psp_006766_1850,missing_patch,0.3,0.7246261160481419,0.013010053222945003,1.0730640888214111,0.03228759765625
psp_006766_1850_red-0037_missing_patch_0.5,psp_006766_1850_red-0037,psp_006766_1850,missing_patch,0.5,0.7562745730082194,0.07878539187525646,2.034865617752075,0.0625
psp_006766_1850_red-0037_local_blur_0.15,psp_006766_1850_red-0037,psp_006766_1850,local_blur,0.15,0.4971152538720106,0.0,0.7559412121772766,0.08355712890625
psp_006766_1850_red-0037_local_blur_0.3,psp_006766_1850_red-0037,psp_006766_1850,local_blur,0.3,0.5789531730257785,0.0,1.1017521619796753,0.11285400390625
psp_006766_1850_red-0037_local_blur_0.5,psp_006766_1850_red-0037,psp_006766_1850,local_blur,0.5,0.6260693464691067,0.0,1.3403284549713135,0.15875244140625
psp_006766_1850_red-0037_patch_duplication_0.15,psp_006766_1850_red-0037,psp_006766_1850,patch_duplication,0.15,0.6740289112878224,0.0,5.5844288908701856e-06,0.015625
psp_006766_1850_red-0037_patch_duplication_0.3,psp_006766_1850_red-0037,psp_006766_1850,patch_duplication,0.3,0.6596727550420011,0.0,0.0009922814788296819,0.03228759765625
psp_006766_1850_red-0037_patch_duplication_0.5,psp_006766_1850_red-0037,psp_006766_1850,patch_duplication,0.5,0.6219922383626302,0.0,0.020312288776040077,0.0625
